time (s),leafValue( fVCO_fall "Tstep" 3.34e-09 ) (Hz),time (s),leafValue( fVCO_rise "Tstep" 3.34e-09 ) (Hz)
100.6E-12,5.870E9,16.51E-12,5.834E9
271.0E-12,5.870E9,187.9E-12,5.870E9
441.4E-12,5.870E9,358.3E-12,5.870E9
611.7E-12,5.870E9,528.6E-12,5.870E9
782.1E-12,5.870E9,699.0E-12,5.870E9
952.5E-12,5.870E9,869.4E-12,5.870E9
1.123E-9,5.870E9,1.040E-9,5.870E9
1.293E-9,5.870E9,1.210E-9,5.870E9
1.464E-9,5.870E9,1.380E-9,5.870E9
1.634E-9,5.870E9,1.551E-9,5.869E9
1.804E-9,5.870E9,1.721E-9,5.870E9
1.975E-9,5.870E9,1.892E-9,5.871E9
2.145E-9,5.870E9,2.062E-9,5.869E9
2.315E-9,5.870E9,2.232E-9,5.870E9
2.486E-9,5.869E9,2.403E-9,5.870E9
2.656E-9,5.870E9,2.573E-9,5.869E9
2.827E-9,5.870E9,2.743E-9,5.870E9
2.997E-9,5.870E9,2.914E-9,5.870E9
3.167E-9,5.870E9,3.084E-9,5.869E9
3.338E-9,5.396E9,3.255E-9,5.618E9
3.523E-9,5.395E9,3.433E-9,5.395E9
3.708E-9,5.395E9,3.618E-9,5.395E9
3.894E-9,5.395E9,3.803E-9,5.395E9
4.079E-9,5.395E9,3.989E-9,5.395E9
4.264E-9,5.395E9,4.174E-9,5.395E9
4.450E-9,5.395E9,4.359E-9,5.395E9
4.635E-9,5.395E9,4.545E-9,5.395E9
 , ,4.730E-9,5.395E9
