ctrlcoarse ,fVCO_AVG
0.000,2.68374842558E9
1.000,2.75659384674E9
2.000,2.82900478364E9
3.000,2.90102280811E9
4.000,2.97256766657E9
5.000,3.04371373531E9
6.000,3.11442090336E9
7.000,3.18470926714E9
8.000,3.25451870634E9
9.000,3.32393776109E9
10.00,3.39301706984E9
11.00,3.46160305744E9
12.00,3.52987693179E9
13.00,3.59768196807E9
14.00,3.66510319787E9
15.00,3.73217368985E9
16.00,2.97256766651E9
17.00,3.04371373515E9
18.00,3.11442090319E9
19.00,3.18470926714E9
20.00,3.25451870602E9
21.00,3.32393776095E9
22.00,3.39301706989E9
23.00,3.46160305732E9
24.00,3.52987693165E9
25.00,3.59768196794E9
26.00,3.66510319773E9
27.00,3.73217368972E9
28.00,3.79884696787E9
29.00,3.86508924127E9
30.00,3.93097811060E9
31.00,3.99651305865E9
32.00,3.25451870607E9
33.00,3.32393776082E9
34.00,3.39301706957E9
35.00,3.46160305720E9
36.00,3.52987693151E9
37.00,3.59768196781E9
38.00,3.66510319748E9
39.00,3.73217368959E9
40.00,3.79884696774E9
41.00,3.86508924113E9
42.00,3.93097811046E9
43.00,3.99651305853E9
44.00,4.06163977085E9
45.00,4.12639411912E9
46.00,4.19085433803E9
47.00,4.25483697373E9
48.00,3.52987693138E9
49.00,3.59768196767E9
50.00,3.66510319746E9
51.00,3.73217368945E9
52.00,3.79884696760E9
53.00,3.86508924100E9
54.00,3.93097811033E9
55.00,3.99651305840E9
56.00,4.06163977072E9
57.00,4.12639411899E9
58.00,4.19085433790E9
59.00,4.25483697360E9
60.00,4.31852185370E9
61.00,4.38185583470E9
62.00,4.44481147569E9
63.00,4.50747211399E9
64.00,3.79884696747E9
65.00,3.86508924087E9
66.00,3.93097811020E9
67.00,3.99651305826E9
68.00,4.06163977058E9
69.00,4.12639411885E9
70.00,4.19085433776E9
71.00,4.25483697347E9
72.00,4.31852185357E9
73.00,4.38185583456E9
74.00,4.44481147556E9
75.00,4.50747211386E9
76.00,4.56975184892E9
77.00,4.63164290946E9
78.00,4.69326483019E9
79.00,4.75450068468E9
80.00,4.06163977045E9
81.00,4.12639411872E9
82.00,4.19085433763E9
83.00,4.25483697334E9
84.00,4.31852185343E9
85.00,4.38185583443E9
86.00,4.44481147543E9
87.00,4.50747211373E9
88.00,4.56975184880E9
89.00,4.63164290933E9
90.00,4.69326483007E9
91.00,4.75450068456E9
92.00,4.81541654731E9
93.00,4.87603126054E9
94.00,4.93627007752E9
95.00,4.99626268169E9
96.00,4.31852185330E9
97.00,4.38185583430E9
98.00,4.44481132846E9
99.00,4.50747211361E9
100.0,4.56975184865E9
101.0,4.63164290920E9
102.0,4.69329298060E9
